Titre,Type de contrat,Bac,Durée,Début,Nom entreprise,Localisation,Description,Salaire,Period. salaire,url
Stagiaire Assistant Contrôle de gestion-(H/F),stage," M1,M2 ",6 mois,0/2022 au 31/03/2023,,Paris (75),"




Vos missions au quotidien


En tant que Stagiaire Assistant Contrôle de Gestion, vous participez aux missions suivantes :

Contribuer à la fiabilisation des états et résultats financiers 
Mettre à jour les rapports mensuels et analyser les données commerciales et financières afin de préparer les revues budgétaires
Simplifier les processus, les outils et les rapports financiers
Elaborer de nouveaux outils de reporting sur Excel en VBA / Macro
Participer aux remises en structure des budgets 2022 pour faciliter l’analyse










Et si c’était vous ?


Vous êtes étudiant(e) de niveau M1/M2 en Contrôle de Gestion, Analyste Financier, Finance d’entreprise, Banque/Finance.
 Vous êtes curieux / Vous êtes force de proposition 
Vous aimez le travail en équipe
 Par ailleurs, vous maîtrisez Excel

Pourquoi nous choisir ?


Postulez dès maintenant.
 Si votre candidature est sélectionnée, vous serez directement contacté par un opérationnel pour un entretien de motivation.
 Durée du stage : 6 mois minimum / Date début : 01/10/2022 au 31/03/2023
 Stage basé à : Délégation Ile de France Sud 94 rue de Provence Paris 9ème
 Gratification selon grilles Société Générale.
 Tous nos postes sont ouverts aux personnes en situation de handicap.












       Nous sommes un 
       employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à 
       promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination. 
      









     Référence: 
     22000K6V


     Entité: 
     Banque de détail France


     Date de début: 
     immediat


     Date de publication: 
     09/09/2022




",,,https://fr.indeed.com/rc/clk?jk=7ec0169ada58bd80&fccid=df6948c9b8da6236&vjs=3
Stage assistant(e) chef de projets H/F,stage,,,dès que possible,Duwood,Paris (75),"Duwood est une Agence de Design indépendante experte en 
Branding et Packaging. 

 Depuis 35 ans, nous donnons vie aux marques avec conviction et ambition pour faire des identités de nos clients, le premier vecteur de fierté et de reconnaissance. 

 Passionnés et engagés, nous mettons chaque jour notre créativité, notre expertise et notre curiosité au service de la croissance durable des marques. 

 Vos missions 


Vos principales missions :
 \-Gestion et suivi de production à travers une plateforme pour le compte d’un client 

 \-Suivi des projets depuis la prise de brief jusqu’aux livrables : coordination 
entre les différentes équipes qui interviennent tout au long de la chaîne 
graphique 

 \-Participation à l’élaboration des briefs créatifs et des recommandations stratégiques : benchmarks, veille concurrentielle, analyse de marque, rédaction de plateforme de marques, concepts créatifs 

 \-Apporter aux clients un conseil et des rendus d’une qualité irréprochable au quotidien 


\- Gestion administrative et financière des projets : élaboration des devis, suivi de la rentabilité des projets... 

 Vos compétences 

 Études supérieures de commerce ou de communication 

 Vous êtes passionné de design et de marques 

 Vous êtes rigoureux, dynamique et flexible avec un bon sens de l’organisation et de la coordination 

 Vous aimez travailler en équipe et avec un bon sens relationnel 

 Maîtrise de l’anglais 

 Avantages 

 Participation aux titres de transports 

 Tickets restaurants 

 Possibilité de télétravail 

 Le stage est à pouvoir dès que possible",,,https://fr.indeed.com/rc/clk?jk=fb000712f47fe11c&fccid=e9c874a0cdef23bc&vjs=3
Digital COMMUNICATION Specialist (INTERN),"stage,télétravail",,,,Ykone,75009 Paris 9e,"WHO ARE WE?
Campaygn is a part of an international Parisian Influencer marketing agency Ykone. Since 2008, our agency works with the world's most iconic brands to connect with their audience through impactful stories.
WHAT DO WE DO AT CAMPAYGN?
CAMPAYGN is a worldwide premium influencer marketing software solution (SaaS), with offices around the world. Our mission is to help our partners to optimise their influencer marketing campaigns and programs.
CONVENTION DE STAGE OR INTERNSHIP AGREEMENT IS MANDATORY
LANGUAGES
Fluent in English (spoken and written). French is appreciated but not mandatory.
DEGREE
Preferably someone with a degree in Communication or social media communication.
WHAT IS THE INTERNSHIP MISSION ?
WEBSITE: Enrich & improve the quality of our corporate website: Campaygn.com
COMMUNITY MANAGEMENT: Manage our LinkedIn page. Write engaging articles (based on Campaygn's insights).
NEWSLETTER: Write Newsletter on a monthly basis.
INSTAGRAM PAGE: Manage our new instagram page: @CampaygnPlatform
REPORTING: Provide social media monthly report. Work on creative decks/presentations.
WHO ARE YOU ?
Are you passionate about luxury and lifestyle brands?
Do you have a creative mindset? Do you love to write?
You are curious, dynamic, super creative and well organised.
You have good knowledge of celebrities/influencers and international culture.
You are at the right place! :-)
Job Type: InternshipContract length: 6 months
Work Location: Hybrid remote in 75009 Paris 9e
Application Deadline: 19/02/2023Expected Start Date: 25/02/2023",,,https://fr.indeed.com/company/Ykone/jobs/Digital-Communication-Specialist-480f82abf248a7d4?fccid=8f769409a06db0b2&vjs=3
Administrateur Systèmes Et Réseaux en Alternance,alternance," baccalauréat ,bac",,,OpenClassrooms,Paris (75),"Avec OpenClassrooms apprenez un métier qui a de l’avenir grâce à l’Alternance et décrochez un diplôme de niveau bac +2 à bac +5 reconnu par l’État.
Développez des compétences recherchées par les entreprises et soyez prêt à l’emploi immédiatement grâce à nos formations 100 % en ligne.
Notre entreprise partenaire, un site d’e-commerce en forte croissance, recherche un Administrateur Systèmes et Réseaux en Alternance.
Les missions de l’Administrateur Systèmes et Réseaux en Alternance

Assurer les performances et le maintien en condition opérationnelle des ressources informatiques.
Superviser l'installation, le paramétrage et l'administration des infrastructures IT.
Préconiser les solutions informatiques les plus adaptées aux besoins des métiers.
Travailler, en collaboration avec les équipes de cybersécurité, à la protection du SI et à l’intégrité des données de l’entreprise.
Diffuser auprès des collaborateurs les bonnes pratiques d’usage des outils informatiques.

Le profil recherché

Solide connaissance des environnements de travail, de l’intégration SI et de la cybersécurité.
Sens de l’analyse et de la synthèse.
Dynamisme et réactivité en cas de problème technique.
Pédagogie face à des interlocuteurs variés.

Prérequis à la formation 

être titulaire d’une certification professionnelle de niveau 5 (ou équivalent) en informatique ;
ou, être titulaire du baccalauréat ou d’une certification professionnelle de niveau 4 (ou équivalent) avec une expérience professionnelle d’au moins 2 ans en support et/ou maintenance informatique.
Langue : un niveau B2 minimum en français avec un certificat de moins de 2 ans.
Matériel : l’accès à un ordinateur (PC ou Mac), muni d'un micro, d'une webcam ainsi que d'une bonne connexion Internet pour les séances de mentorat.

Pour postuler à l’Alternance OpenClassrooms
1) Candidatez à l’annonce en remplissant vos coordonnées (nom, prénom, adresse e-mail).
2) Vous recevrez un lien pour compléter votre candidature à la formation. Attention à bien consulter les prérequis obligatoires de la formation pour accéder au diplôme.
3) Notre équipe de Talent Recruiters vous contactera très vite pour un entretien de pré-qualification.
Scolarité prise en charge par l’employeur. Aucun frais à engager pour les alternants.
Pour postuler à cette offre en alternance, vous devez faire une formation diplômante avec OpenClassrooms ou réaliser un changement d’école dans le cadre d’un contrat en alternance.
Formez vous avec la référence de l’éducation en ligne.
Type d'emploi : Alternance
Programmation :

Du Lundi au Vendredi
Périodes de travail de 8 heures
Repos le week-end
Travail en journée

Lieu du poste : Un seul lieu de travail",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMABqt-7e8ID0RaR6SJASz4dB9L8cbMUr95Acwx8L6f48pdE3hCWYAvL5Th6T51j9fKOW0K9JP5ZZHHbcEnSMpnaOgSWATnTmWlcq_fedNaZ7T0kNQqMM43KsTTi7TTCu-mHmFpDcxIm_bvnMOLVku3Yf8YT4QyrDJUOyxd_VeIqXuLHS5RRB2fB4zTMFj45Jer0Y7UXMsoafQZl9EKQKXv5ISPCG6ty8ye8dI_HTwFxjo4m-XbF2wUzta8n6gKfcmLMu6pQR8U_lUu8v9RF_wUMOlnS2_lc6w75DtA3WKxNRg0Mx15X8X3T-E5n6cjeTAa60UWrPrrhaKn70CvjVmXF_H8SOOGanOFkCXgMcrnHpi0wdPVMICOL436yzsoa0Sgh-0bQjgnP8lieODZClhyTxc1MgsNUTVVvnXwDOrHm21ZErLQBaaKOmkugUw8eEN1JDsA8pjr2Y4LZsBcvJCwZ4Hs4foGsoLD7kp7ABfBiIsnXeikhCw-DdQEtcABceUV3jYdaLZAxAWPslNysuRK0nJRBRxibLytQxulI369GiHGDTZY054WRRjsVFqXsMPKrwURQlscu9IzdxcAqYpwero9PUHn-BdRYdUEsBsyawZqMuPryHbzXfAvpP36A0wxpomamp3DIAxRKxZ_fBIJ2QQFH5H7cur2BsEY0zM3_N7jkgHaAY1KU02PtuX4925o-LC1uNZSMVJyyN05ZV8cRKXKJpWkZZMjbNCd9LwOp5ZClzh5tqo_M_mgHKCSEcyTgJicZ5U7-SerECvDYSxEvXOmYcAGIE=&xkcb=SoCW-_M3Tgs2y_wHAB0KbzkdCdPP&p=1&fvj=1&vjs=3
Stage Développeur WEB – PHP / MYSQL,stage,,4 à 6 mois,,Yes Store,78500 Sartrouville,"Durée et période du stage : 4 à 6 mois
Société de distribution de produits de cigarettes électroniques (matériels et liquides), notre activité est axée autour des 3 pôles principaux : Boutiques, Fabrication, e-Commerce
Dans le cadre de votre stage, vous participerez à l’évolution du logiciel de Caisse
Vous serez amené à :- Recenser les évolutions et corrections ;- Analyser la problématique et proposer des solutions ;- Développer et tester les modifications ;- Mettre en production le logiciel ;- Accompagner les utilisateurs.
Compétences techniques nécessaires : Php, html, css, git, mySql, Apache. Une bonne connaissance de la modélisation MVC serait un plus.
Aptitudes personnelles requises : curiosité, autonomie, sociabilité et rigueur
Rémunération légale + Tickets restaurant + participation abonnement transport
Type d'emploi : Stage, CDD, Contrat pro
Salaire : à partir de 498,00€ par mois
Programmation :

Du Lundi au Vendredi

Lieu du poste : Un seul lieu de travail"," à partir de 498,00€ ",mois,https://fr.indeed.com/company/Yes-Store/jobs/Stage-D%C3%A9veloppeur-Web-PHP-aa36a0d99c37aa81?fccid=96859b5515fdf82e&vjs=3
Stage de 2 mois ou apprentissage - Assistant(e) comptable (H/F),stage,,,,Cash Flow Positif,Paris (75),"
Cash Flow Positif a été créée dans l’objectif de proposer des opportunités d’investissement dans l’immobilier locatif autofinancées et autogérées à des investisseurs particuliers. La prestation délivrée aux clients Cash Flow Positif couvre la chasse immobilière, le suivi de l’ensemble des phases du processus d’acquisition, l’optimisation du rendement du bien ainsi que sa mise en autogestion avec la promesse d’avoir réalisé un investissement autofinancé.

 Benefits 

Une rémunération compétitive,
 Mutuelle Alan,
 Payfit,
 50% du Pass Navigo,
 Fruits à volonté
 Tickets Restaurants SWILE
 Autres benefits à venir avec l'évolution de la start-up.





Description du sujet:
 Sous la responsabilité de la Direction, vous participerez aux opérations de comptabilité courante et tenue de la comptabilité générale d'un ensemble de SCIs

 Pré-requis :


Etre en deuxième année de DCG ;
Prêt à s'investir dans un univers start-up ;
Fort intérêt pour le monde de l'immobilier;
Savoir faire preuve d’une grande autonomie ;
Être attentif aux détails et rigoureux dans son travail ;
Très bonne maîtrise du français.

",,,https://fr.indeed.com/rc/clk?jk=10a3b623c4432afd&fccid=e44462889f67fd6c&vjs=3
Assistant Chef de projets - Stage 4 mois,stage,,,,ChoYou,75006 Paris 6e,"
Description du poste
Nous recherchons une personne pour assister nos Chefs de Projets. Concrètement, vous apprendrez les différents aspects de la réalisation d’un projet marketing, débutant par la recherche de l’audience, le messaging, le contact avec l’audience...
Cela via les différents moyens que nous mettons au service de nos clients: Database conciliation, Design graphique et Création, Web, video, événementiel

",,,https://fr.indeed.com/rc/clk?jk=c141c1a0519b57b0&fccid=c34fac5b07b69d28&vjs=3
Stage administratif H/F,stage,,2 mois,,EBM,75002 Paris 2e,"Dans le cadre de son développement, notre entreprise recrute un(e) stagiaire en gestion administrative.
Mission :Ø Gestion des présences, des absencesØ ReportingØ Suivi des annonces, tri Cv et sélectionØ Organisation des entretiens avec les responsables opérationnelsØ Mise à jour des tableaux de bordØ Assurer la gestion administrative
Qualités requises :Ø Vous êtes organisés et autonomesØ Vous avez un bon sens du relationnelØ Vous maitrisez le pack office
Les +:- Vous avez un bon sens du relationnel, le travail en équipe ne vous fait pas peur- Vous avez une aptitude à gérer plusieurs sujets simultanément et à prioriser les sujets- Vous êtes proactif et vous êtes à l'aise avec les outils informatiques.
Type d'emploi : StageDurée du contrat : 2 mois
Salaire : Jusqu'à 1 700,00€ par mois
Programmation :

Du Lundi au Vendredi

Lieu du poste : Un seul lieu de travail"," Jusqu'à 1 700,00€ ",mois,https://fr.indeed.com/company/EBM/jobs/Stage-Administratif-12bebc9cd3a9f888?fccid=7ae228246d294fbc&vjs=3
Stage Développeur Back-end Python/ Java F/H/NB,stage," stage de fin d'étude, Master ",4 à 6 mois,,Cegid,Paris (75),"












Dans sa démarche d'employeur inclusif, Cegid valorise la diversité dans ses équipes.
 Notre politique #Cegid4AllTalents s'engage activement pour l'égalité des chances, et contre toute forme de discrimination.


 Si vous êtes en situation de handicap, nos équipes Talent Acquisition sont formées pour vous accompagner.
 Notre Mission Diversité & Inclusion est à votre disposition.













Vos forces


Parlons de vous...




Vous êtes actuellement en Master cycle Ingénieur ou équivalent et recherchez un stage de fin d'étude d’une durée de 4 à 6 mois ; 


L’esprit collaboratif, la motivation et la curiosité sont des qualités qui vous décrivent !


Les défis techniques n’ont plus de secret pour vous, des compétences en développement Back-end et python sont un plus ;

Au-delà des compétences métiers, nous recherchons des talents qui souhaitent exprimer leur potentiel et ouvrir les possibles avec nous car nous considérons que le partage des idées et l’intelligence collective sont source de valeur ajoutée et de performance pour tous. C’est avant tout votre engagement, votre esprit d’équipe et votre curiosité qui feront la différence !

Vos missions

Cegid recrute un(e) Développeur Back-end Python/ Java en Stage sur Paris !
Vous serez intégré(e) au sein de l’équipe de développement Back-end du projet Cegid Conciliator. Votre objectif sera de créer une API et toute l’architecture nécessaire pour exposer notre modèle de Machine Learning aux autres entités de Cegid. 
Vous nous aiderez à améliorer l’expérience client sur Cegid Conciliator, un outil Saas d’automatisation de la saisie comptable. Cet outil novateur traite environ 100 000 factures/jour avec l’IA.
Pendant votre stage, vous serez amené(e) à :

Découvrir la technologie d’OCR (Reconnaissance optique de caractères)


Implémenter une intégration du service d’OCR dans Cegid Conciliator


Evaluer le résultat du nouveau service VS le service existant


Effectuer la livraison avec des tests à l’appui



Votre environnement technique :

Python, Java, Postgres, docker


Outils Azure DevOps


Méthodologie scrum 


Votre écosystème

Cegid, c’est un groupe international de plus de 4400 collaborateurs dans 22 pays qui accompagnent les professionnels des métiers de l’Expertise-Comptable, de la Paie et des Ressources Humaines, de l’ERP, de la fiscalité et du Retail.
Cegid conçoit des solutions de gestion utiles et innovantes pour ses clients, afin de devenir leur partenaire préféré en comprenant leur métier et leurs enjeux pour permettre aux clients de transformer leurs défis en opportunités.
Les valeurs de Cegid : s’engager ensemble, s’inspirer de nos clients et explorer toujours.
En rejoignant Cegid, vous vous donnez les moyens de vivre vos ambitions et d’être créateur de valeur.

    Ensemble accélérons nos talents !
   



",,,https://fr.indeed.com/rc/clk?jk=dd5ad504edb81637&fccid=a80873c22d71ac44&vjs=3
STAGE – ASSISTANT(E) CHEF DE PROJETS COMMUNICATION INTERNATIONALE,stage,Bac ,,,Clarins,Neuilly-sur-Seine (92),"
STAGE - ASSISTANT(E) CHEF DE PROJETS COMMUNICATION INTERNATIONALE
 
Prêt à insuffler de la passion à votre carrière ?
 
Leader mondial du soin et du maquillage d'origine naturelle, le groupe Clarins est avant tout l’incarnation d’une histoire familiale engagée, mue par sa passion pour l’innovation et son esprit d’indépendance. Sa raison d’être est de « rendre la vie plus belle, transmettre un monde plus beau ».

 Présent dans plus de 150 pays, nous sommes aujourd’hui n°1 du soin en Europe et accélérons notre développement sur tous les autres continents, notamment en Asie et en Amériques.
 
Convaincus que nos 8 000 talents sont uniques, nous avons à cœur de valoriser la diversité sous toutes ses formes.
 
Vous voulez contribuer à écrire la suite de notre histoire ?

 Le poste : 
Au sein de l'équipe International Brand Expression de la marque Clarins, rattachée à la Direction de la Communication Internationale, vous assisterez la/le Chef de projet dans l'élaboration et la production des campagnes de lancements Soin à l'international.

 La mission : 

Suivi de la production et post-production des films et contenus digitaux (pub, scientifique, plante...) en lien avec la Direction artistique et nos agences partenaires
 Suivi des shoots photos en lien avec la Direction artistique et nos agences partenaires
 Suivi des contenus rédactionnels pub ; rédaction et validations légales (Print, POS, Digital...) 
Suivi du budget et droits d'image. 
Suivi des plannings et respect des deadlines. 
Suivi des besoins spécifiques marchés
 Publication sur la plateforme DAM : mise à disposition et communication des contenus textes, images et vidéos auprès des différents départements internes et des filiales. 
Veille concurrentielle.


 Vous êtes :

 En formation : Master/Bac +4/5 minimum, spécialisé́ en Communication / Stratégie de marque/ Marketing.
 A l’écoute des tendances sur le secteur de la Beauté́/Mode/Parfum et des métiers liés à la Communication.
 Organisé(e), Rigoureux(se), Curieux(se)


 Vous apportez : 

Une passion pour traduire les mots en image et une sensibilité́ artistique 
Un excellent niveau d’anglais et de français 
Une envie de relever de nouveaux défis et envie d’apprendre 
Une aisance relationnelle


 
Nous avons : 

Près de 70 ans d’expertise dans la beauté et le spa, avec les marques Clarins et myBlend
 Des produits uniques et des services innovants 
Un engagement envers la Responsabilité Sociale & Environnementale intégré dans notre raison d’être 
Une culture d’entreprise bienveillante et inclusive
 Des opportunités de développement
 Une offre de formation riche
 Une rémunération et des avantages attrayants
 Un environnement de travail flexible, avec jusqu’à 2 jours de télétravail par semaine


 Si vous êtes de nature curieuse, que vous avez la soif d’aller plus loin, et l’envie de relever de nouveaux défis avec audace, alors rejoignez-nous.
 
Au sein du groupe Clarins, nous mettons tout en œuvre pour rendre la vie plus belle, à nos collaborateurs comme à nos client.es. Ainsi, en ligne avec notre ADN et les valeurs qui nous animent, nous valorisons la diversité sous toutes ses formes en proposant un environnement de travail le plus inclusif possible. Nous avons à cœur d'offrir à chaque collaborateur et collaboratrice, de façon égale, l’opportunité d’atteindre son plein potentiel.
",,,https://fr.indeed.com/rc/clk?jk=5ddcd20974a8af46&fccid=275f5cc36d596e2f&vjs=3
Stagiaire Ingénieur Systèmes Embarqués Hardware H/F,stage,,6 mois,,DUNASYS INGENIERIE,92000 Nanterre,"QUI SOMMES-NOUS ?
Depuis 2007, Dunasys s’est spécialisé dans les systèmes embarqués, essentiellement dans l’automobile, ainsi que sur les véhicules connectés et autonomes.
Nous travaillons sur deux activités principales :
· De la R&D avec un bureau d'études où nous développons des boitiers télématiques (hard et soft), des logiciels embarqués, ainsi que du traitement de données.
· De l’Ingénierie, en proposant des interventions en assistance technique chez nos clients ou des projets au forfait, en interne.
Nous bénéficions d’un portefeuille client diversifié allant, de grands constructeurs automobiles et d’équipementiers, à des start-ups de l’autopartage et de l’écomobilité.
Fort de ces années de développement, nous poursuivons notre croissance sur de nouveaux marchés.
C’est pourquoi, nous recherchons : un.e stagiaire Ingénieur.e Systèmes Embarqués pour nous épauler dans ce nouveau challenge.
CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE :
Ta mission ? Développer la partie hardware de notre future solution d'analyse réseaux CANFD (interface CAN FD, driver et application Windows).
A la clef :

Travailler avec l’ingénieur software afin de définir le réel besoin, l’architecture du Systeme et rédiger des spécifications liées au systèmes.
Etudier et choisir les composants les plus pertinents pour notre besoin.
Faire de la saisie de schéma et la conception du système.
Router l’ensemble de la carte.
Superviser la partie du prototype de la carte à sa phase d’industrialisation.
Faire l’intégration des cartes électroniques/mécaniques avec le boitier que tu vas choisir et réaliser les 2D/3D.
Réaliser la documentation technique (justification des choix de composants, manuel d’utilisateur, datasheet…. etc).

Les outils : Altium, LTSpice, outils de mesure (Multimètre, oscilloscope…etc)
NOUS SOMMES FAITS POUR TRAVAILLER ENSEMBLE SI :
Tu es en dernière année d’école d’ingénieur (BAC+5) avec une spécialité en systèmes embarqués ou équivalent.
Tu es reconnu pour ta curiosité et ta force de proposition ?
Tu es passionné par les domaines des hautes technologies et de l’innovation ?
Alors ne tardes plus, viens nous rejoindre et partager ta bonne humeur !
LES AVANTAGES QUE NOUS TE PROPOSONS
Une carte restaurant Swile + 50% du titre de transport remboursé + 70 % de la mutuelle prise en charge par l'employeur + un CE + des horaires flexibles
Tu apprécies les p’tits déj’ entre collègues, les soirées jeux, les afterworks et les matchs de foot ⚽une fois la journée terminée … Alors tu as frappé à la bonne porte :).
Type d'emploi : StageDurée du contrat : 6 mois
Salaire : à partir de 1 000,00€ par mois
Avantages :

Horaires flexibles
Participation au Transport
Titre-restaurant

Programmation :

Du Lundi au Vendredi
Travail en journée

Lieu du poste : Un seul lieu de travail"," à partir de 1 000,00€ ",mois,https://fr.indeed.com/company/DUNASYS/jobs/Stagiaire-Ing%C3%A9nieur-Syst%C3%A8mes-Embarqu%C3%A9s-Hardware-7412f2fbc8cc1d73?fccid=5f9ebf3e9e2027c8&vjs=3
Marketing stratégique - STAGE minimum 4 mois - H/F,stage,,4 mois,,Infflux,Paris (75),"


Missions
 Nous ambitionnons à travers nos nouvelles offres une très forte croissance de notre activité, afin de maintenir notre position d'acteur de référence sur le marché. Dans ce contexte, votre mission sera de participer aux développements de nos actions de marketing et communication. Stage à compter du 1er avril 2023 minimum 4 mois.  Rattaché au Directeur commercial marketing le/la stagiaire Chargé(e) de marketing stratégique aura pour mission :

 Réalisation d'outil d'aide à la vente (étude de marché, positionnement concurrence, argumentaires produits)
 Community management : animation des réseaux sociaux, proposition d'organisation de jeux concours, d'animation de communautés internes et externes
 Mise en place et suivi du planning éditorial et digital en fonction des enjeux stratégiques
 Analyse des indicateurs d'audience et en tirer un plan d'action

 Profil recherché

 Formation école de commerce ou dans le domaine de la logistique
 Autonomie, dynamique, bon relationnel
 Maitrise des outils d'étude
 Bonne capacité de restitution écrite


",,,https://fr.indeed.com/rc/clk?jk=058dee197dc7e557&fccid=0618591e016f2640&vjs=3
Alternance Développeur / Développeuse web - Nemours (F/H),alternance,Bac,,,ISCOD,77140 Nemours,"
Description :
 L’ISCOD, spécialiste de la formation en Digital Learning, recherche pour son entreprise partenaire, spécialisée dans l'encadrement de photos, un(e) Développeur / Développeuse web en alternance pour préparer l’une de nos formations diplômantes reconnues par l'Etat, de niveau 5 à niveau 7 (Bac+2, Bachelor/Bac+3 ou Mastère/Bac+5). 
 Optez pour l’alternance nouvelle génération avec l'ISCOD !
 
Missions :

Maintenir et mettre à jour les sites web de l'entreprise 
Poursuivre le développement d'un backoffice web (application métier) 
CSS / HTML / PHP / SQL

Profil :

Autonome 
Rigoureux 
Passionné par le développement web 
1ère expérience pro ou perso obligatoire 

 Poste basé à Nemours (77140). 
 Rémunération selon niveau d’études + âge. Formation prise en charge à 100% par l’entreprise. 
 Vous êtes intéressé(e) par cette offre d’emploi en alternance ? Postulez dès maintenant !

",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoTxitq7cW1YISMLubqSXE9UF_BwOvx4aF7kp_bNHWv5uPJqfEBrpw0glDwXKTbbzEjhTOtcAHvO7-R67yUXpXPO5bcfTHqNlGmUTkyFE6djjw7JhjIf1Mj4pa8oxNovbY_UzgRr7j-TJmWGBX8SdjmU30RHiq5tYXWCa6Oo37W44q-rRHbj5zzH4M5NVF4DQvurSt4h67Y3gViCmyyASYCuWIyLBRtsBNdsT7AbDoCRhxgPD6UP7Ef9vJKAgKk80O6LXU85rNUH9wMrmAEM_gmnuIFWWzkr1J-Q-aZW6SJBUh2h3hcMgI-q_ELwgDNA5eBQx0hs8SzMZPFMe9sZ3cWR_Y7spZIme9-kKSMeFA56f6apB6GjeS46P3jRfDiVpwABivQI0BX9TQXL6KFwkVNv94Fl7n17fmRH_144PlDT4onsl96rsB6PPeaXlmRijTBJIBCug9RufwC4jlGY8Zz2eiWukw0RMiC_3n0YkpsEZrkN77r9lcr63C6C8JVkHus-DtQd7puEmw9DSMgdvKSY-uF6TBgkFf41mik2z4_qusYFolhKtmUQhdynIGogOuJ3Df4QXC2xndFECEzfZh97RdQYxycLql91AamTk9pmI3mUgE850edGkydRI1Ew42QWu71ffxv0_rz7BDQN-6-olzHv8CzEwOtfLJEfeafX2IEP5qcB2526NSYx1oE9sAArJGvOfMbw==&xkcb=SoDA-_M3Tgs2y-wHAB0JbzkdCdPP&p=10&fvj=0&vjs=3
Juriste stagiaire en droit social H/F,stage, M2 ,6 mois,dès que possible,CARAXO,59260 Lezennes,"Cabinet de formation & Conseil recherche juriste en droit social et RH
Caraxo, cabinet de conseils et formations en droit de la formation, droit des relations sociales, formation et gestion des emplois et compétences, intervient sur l’ensemble du territoire. Accompagnant depuis 2002 de grandes entreprises, tout en assurant l’expertise sur le droit de la formation, le droit des relations sociales, l'ingénierie formation et la GPEC.
Principales missions :

La veille juridique sur la loi relative à la formation professionnelle
La veille juridique sur l'évolution du droit social et des RH
La construction de dossiers thématiques pour nos intervenants et clients
L’aide à la rédaction d’ouvrages,
La construction de nos Foires aux Questions posées par nos abonnés par le biais de notre hotline
L'aide aux réponses, à la préparation aux réponses à la Hotline Droit de la formation
Le suivi de l’activité de nos clients abonnés
La rédaction d’articles en droit et RH, ou tout type d’écrits pour nos différents supports (magazines, lettre d’information),
La contribution au développement de l’activité « abonnements »
La participation à des évènements et rencontres avec nos entreprises clientes
Le suivi d'une partie de notre communication sur notre blog
Le suivi de nos contenus formation et la création du supports formation

Étudiant(e) en M2 Droit social et/ou RH
Vous maîtrisez les produits Office : Excell, Word, Pptx, etc
Rigoureux(se), persévérant(e) et positif(ve) vous êtes prêt(e) à vous investir dans un projet d’entreprise pour contribuer au développement de l’activité dans un soucis permanent de qualité.
Vous disposez d’un réel sens relationnel et rédactionnel, d'une rigueur orthographique.
Poste basé à Lezennes (10 mn de Lille) à pouvoir dès que possible pour une durée de 6 mois (nos bureaux sont fermés les 3 premières semaines d'Août).
Rémunération : gratification de stage
Cette offre vous correspond et s’inscrit dans votre projet professionnel ? Envoyez-nous votre candidature (CV et lettre de motivation)
Télétravail

Non

Type d'emploi : Stage
Programmation :

Du Lundi au Vendredi
",,,https://fr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dcdt-4n84dax750QegRYT2pzHIG5BcsEH4S90-OlfzRrCFPRkhGUBvkoRJUHw4tmLHFPdsqdRGCVg48RUsBR04taAWSaWsZnNmT8B-tHUzP6FSUWoRjAFvJt-IGxE7YlsVcAuv3-usV4mffAzcCZbRGm6Uam8m6mp38MCvAPk2N7VpuBix0CFmkkSWwFS4-VSL0wCstWJyn1fEP5Y_E9AuZp3bMgYyY6UH_ukzt--rpy7Z4a0nvPTGUg45YOw1drLHuopbLDnZ0Xygoagfcst0q8UY4tJXyluHWJsP3UqJsb5IBqdyIONza94H8BObwDBTac4OfC1vH_r_2GcNDr1PqnnkT21cbbn8ifrEGD3R4bCL5sVbPgrS4RKvIvEWFzdM2AdFcNDtNXY73MbOGLMTJXOoQPa3_4YhfqP6xnDGluvk5noh8yw3U8rqxYW_NKKT2MO7X5_4wxh6gqpoqDxFYvByhZZotv2M6ZLevuUzZmsRe4dkHXkFE9nx8t2ycv6yW6ewH4FDwLMfzbaCgTcw&xkcb=SoBf-_M3Tgs2y5QHAB0LbzkdCdPP&p=11&fvj=1&vjs=3
